Headline,Body ID,Detected Stance,Actual Stance
edu.arizona.cs.data.Headline@6225abaa,808,unrelated,unrelated
edu.arizona.cs.data.Headline@5e1ad8e6,2448,unrelated,unrelated
edu.arizona.cs.data.Headline@78d0c60e,2044,unrelated,unrelated
edu.arizona.cs.data.Headline@214a7b84,236,unrelated,unrelated
edu.arizona.cs.data.Headline@5ab9d4ff,1828,unrelated,unrelated
edu.arizona.cs.data.Headline@285d1277,719,unrelated,unrelated
edu.arizona.cs.data.Headline@24538114,900,unrelated,unrelated
edu.arizona.cs.data.Headline@30d9b74d,513,unrelated,unrelated
edu.arizona.cs.data.Headline@70d7c58b,754,unrelated,unrelated
edu.arizona.cs.data.Headline@1357eb38,1483,unrelated,unrelated
edu.arizona.cs.data.Headline@207c3e1f,1000,unrelated,unrelated
edu.arizona.cs.data.Headline@2fe46127,2130,unrelated,unrelated
edu.arizona.cs.data.Headline@3c651c8,1336,unrelated,unrelated
edu.arizona.cs.data.Headline@27056335,2032,discuss,discuss
edu.arizona.cs.data.Headline@5bd0d127,545,discuss,discuss
edu.arizona.cs.data.Headline@57c01da3,789,unrelated,unrelated
edu.arizona.cs.data.Headline@70476a1a,51,unrelated,unrelated
edu.arizona.cs.data.Headline@b6187f6,377,unrelated,unrelated
edu.arizona.cs.data.Headline@5c9bae3c,345,unrelated,unrelated
edu.arizona.cs.data.Headline@17c7180f,2123,unrelated,unrelated
edu.arizona.cs.data.Headline@68321d9e,2044,unrelated,unrelated
edu.arizona.cs.data.Headline@6f6b6959,240,unrelated,unrelated
edu.arizona.cs.data.Headline@6e80d0c6,225,unrelated,unrelated
edu.arizona.cs.data.Headline@4128aa79,721,discuss,discuss
edu.arizona.cs.data.Headline@398e912f,2410,unrelated,unrelated
edu.arizona.cs.data.Headline@d1b16e6,1968,unrelated,unrelated
edu.arizona.cs.data.Headline@65f5e163,516,unrelated,unrelated
edu.arizona.cs.data.Headline@618af4c6,1984,discuss,discuss
edu.arizona.cs.data.Headline@2cc01631,225,unrelated,unrelated
edu.arizona.cs.data.Headline@330d91d4,289,unrelated,unrelated
edu.arizona.cs.data.Headline@294a90ba,1758,unrelated,unrelated
edu.arizona.cs.data.Headline@4351174f,1294,unrelated,unrelated
edu.arizona.cs.data.Headline@7d05b245,2360,unrelated,unrelated
edu.arizona.cs.data.Headline@37221f,1026,unrelated,unrelated
edu.arizona.cs.data.Headline@3ada6ac3,2124,unrelated,unrelated
edu.arizona.cs.data.Headline@75d976fd,2104,unrelated,unrelated
edu.arizona.cs.data.Headline@1cbc96f7,2000,discuss,discuss
edu.arizona.cs.data.Headline@52685c02,1107,unrelated,unrelated
edu.arizona.cs.data.Headline@6c38a62c,2223,unrelated,unrelated
edu.arizona.cs.data.Headline@1b75873e,2213,unrelated,unrelated
edu.arizona.cs.data.Headline@bed501e,2130,unrelated,unrelated
edu.arizona.cs.data.Headline@224d8e89,1291,unrelated,unrelated
edu.arizona.cs.data.Headline@6a3d2cac,2318,discuss,discuss
edu.arizona.cs.data.Headline@5d460aa2,1673,unrelated,unrelated
edu.arizona.cs.data.Headline@3ccadcb4,822,unrelated,unrelated
edu.arizona.cs.data.Headline@72bd2462,1931,unrelated,unrelated
edu.arizona.cs.data.Headline@71e63ed5,2479,discuss,discuss
edu.arizona.cs.data.Headline@1c183951,269,unrelated,unrelated
edu.arizona.cs.data.Headline@6d58cd87,1071,unrelated,unrelated
edu.arizona.cs.data.Headline@7087202e,1375,unrelated,unrelated
edu.arizona.cs.data.Headline@6d0f128d,1368,unrelated,unrelated
edu.arizona.cs.data.Headline@4690de5e,2471,discuss,discuss
edu.arizona.cs.data.Headline@29c4c3dd,1104,unrelated,unrelated
edu.arizona.cs.data.Headline@7585fd6d,1819,discuss,discuss
edu.arizona.cs.data.Headline@3af248ef,974,unrelated,unrelated
edu.arizona.cs.data.Headline@24598f2,1891,discuss,discuss
edu.arizona.cs.data.Headline@58f17342,2318,discuss,discuss
edu.arizona.cs.data.Headline@78befafd,413,unrelated,unrelated
edu.arizona.cs.data.Headline@56927f10,1331,unrelated,unrelated
edu.arizona.cs.data.Headline@52a6de3,737,unrelated,unrelated
edu.arizona.cs.data.Headline@4e6b32a5,2523,unrelated,unrelated
edu.arizona.cs.data.Headline@4a2cd59,1041,discuss,discuss
edu.arizona.cs.data.Headline@45d813b2,1339,discuss,discuss
edu.arizona.cs.data.Headline@6efa6ae6,754,unrelated,unrelated
edu.arizona.cs.data.Headline@7c20ba65,1405,discuss,discuss
edu.arizona.cs.data.Headline@24e6199a,1642,unrelated,unrelated
edu.arizona.cs.data.Headline@1976eaba,913,discuss,discuss
edu.arizona.cs.data.Headline@607c8863,373,unrelated,unrelated
edu.arizona.cs.data.Headline@7711cdd0,2523,unrelated,unrelated
edu.arizona.cs.data.Headline@499993c3,2340,discuss,discuss
edu.arizona.cs.data.Headline@2aa93a27,30,unrelated,unrelated
edu.arizona.cs.data.Headline@7379a674,1649,unrelated,unrelated
edu.arizona.cs.data.Headline@3e68b4b6,1954,unrelated,unrelated
edu.arizona.cs.data.Headline@5df3d95e,1144,discuss,discuss
edu.arizona.cs.data.Headline@7280a22f,126,unrelated,unrelated
edu.arizona.cs.data.Headline@37423031,2042,unrelated,unrelated
edu.arizona.cs.data.Headline@74b826ae,1533,discuss,discuss
edu.arizona.cs.data.Headline@35e73cc,17,unrelated,unrelated
edu.arizona.cs.data.Headline@68419f22,1368,unrelated,unrelated
edu.arizona.cs.data.Headline@7b1c3b8f,1001,discuss,discuss
edu.arizona.cs.data.Headline@bacf733,242,unrelated,unrelated
edu.arizona.cs.data.Headline@6ff0d1eb,1602,discuss,discuss
edu.arizona.cs.data.Headline@6705457,2260,unrelated,unrelated
edu.arizona.cs.data.Headline@1caac755,236,unrelated,unrelated
edu.arizona.cs.data.Headline@3a83f4d4,1660,unrelated,unrelated
edu.arizona.cs.data.Headline@9426786,2410,unrelated,unrelated
edu.arizona.cs.data.Headline@f8c6d1a,30,discuss,discuss
edu.arizona.cs.data.Headline@146175eb,1081,discuss,discuss
edu.arizona.cs.data.Headline@2b85390a,281,unrelated,unrelated
edu.arizona.cs.data.Headline@58dc8efa,508,unrelated,unrelated
edu.arizona.cs.data.Headline@8929989,170,unrelated,unrelated
edu.arizona.cs.data.Headline@5c8f26be,2431,unrelated,unrelated
edu.arizona.cs.data.Headline@b645aec,1659,unrelated,unrelated
edu.arizona.cs.data.Headline@219de29b,126,unrelated,unrelated
edu.arizona.cs.data.Headline@3ddf79f0,1673,unrelated,unrelated
edu.arizona.cs.data.Headline@18400223,643,unrelated,unrelated
edu.arizona.cs.data.Headline@31da98fd,1996,unrelated,unrelated
edu.arizona.cs.data.Headline@7f1d3d67,2360,unrelated,unrelated
edu.arizona.cs.data.Headline@394bcb8d,532,unrelated,unrelated
edu.arizona.cs.data.Headline@2182979d,737,unrelated,unrelated
edu.arizona.cs.data.Headline@44fafe20,1029,unrelated,unrelated
edu.arizona.cs.data.Headline@521a05dd,513,unrelated,unrelated
edu.arizona.cs.data.Headline@e1ecef,1165,unrelated,unrelated
edu.arizona.cs.data.Headline@1379092d,1699,unrelated,unrelated
edu.arizona.cs.data.Headline@11cfd272,1628,unrelated,unrelated
edu.arizona.cs.data.Headline@7118ccc0,456,unrelated,unrelated
edu.arizona.cs.data.Headline@7e11d098,1352,discuss,discuss
edu.arizona.cs.data.Headline@4a498499,1835,unrelated,unrelated
edu.arizona.cs.data.Headline@d65a5e4,2091,unrelated,unrelated
edu.arizona.cs.data.Headline@7c9e8070,1580,discuss,discuss
edu.arizona.cs.data.Headline@7a75be36,1081,discuss,discuss
edu.arizona.cs.data.Headline@6f7806b,346,unrelated,unrelated
edu.arizona.cs.data.Headline@269d4fd4,1906,unrelated,unrelated
edu.arizona.cs.data.Headline@2e08d677,2225,discuss,discuss
edu.arizona.cs.data.Headline@43156a16,1987,discuss,discuss
edu.arizona.cs.data.Headline@f3a6e4f,414,unrelated,unrelated
edu.arizona.cs.data.Headline@445d08eb,1739,unrelated,unrelated
edu.arizona.cs.data.Headline@2cf08fac,1867,unrelated,unrelated
edu.arizona.cs.data.Headline@5af244e4,2213,unrelated,unrelated
edu.arizona.cs.data.Headline@76c41501,1223,unrelated,unrelated
edu.arizona.cs.data.Headline@5ee1699a,2327,unrelated,unrelated
edu.arizona.cs.data.Headline@8f0a9a1,381,unrelated,unrelated
edu.arizona.cs.data.Headline@406d193f,2125,unrelated,unrelated
edu.arizona.cs.data.Headline@16d7602e,1195,unrelated,unrelated
edu.arizona.cs.data.Headline@4e1f62b2,1580,unrelated,unrelated
edu.arizona.cs.data.Headline@66932eaf,754,unrelated,unrelated
edu.arizona.cs.data.Headline@4b68e443,1311,discuss,discuss
edu.arizona.cs.data.Headline@73c92a27,2124,unrelated,unrelated
edu.arizona.cs.data.Headline@4676cc1e,696,unrelated,unrelated
edu.arizona.cs.data.Headline@396f7429,1278,unrelated,unrelated
edu.arizona.cs.data.Headline@3529d5bb,2290,unrelated,unrelated
edu.arizona.cs.data.Headline@f0b492b,60,unrelated,unrelated
edu.arizona.cs.data.Headline@7fed62e8,691,unrelated,unrelated
edu.arizona.cs.data.Headline@3de18f00,2223,unrelated,unrelated
edu.arizona.cs.data.Headline@13894ae3,742,discuss,discuss
edu.arizona.cs.data.Headline@7e78058,812,unrelated,unrelated
edu.arizona.cs.data.Headline@59e8db15,388,unrelated,unrelated
edu.arizona.cs.data.Headline@62366530,2123,unrelated,unrelated
edu.arizona.cs.data.Headline@28824993,387,unrelated,unrelated
edu.arizona.cs.data.Headline@52aa91a5,409,unrelated,unrelated
edu.arizona.cs.data.Headline@4d05c896,1631,discuss,discuss
edu.arizona.cs.data.Headline@1c4b3be3,825,unrelated,unrelated
edu.arizona.cs.data.Headline@263f2728,1545,unrelated,unrelated
edu.arizona.cs.data.Headline@209eadf3,1660,unrelated,unrelated
edu.arizona.cs.data.Headline@c1081db,99,unrelated,unrelated
edu.arizona.cs.data.Headline@3f4a65ab,686,unrelated,unrelated
edu.arizona.cs.data.Headline@46c33968,2034,unrelated,unrelated
edu.arizona.cs.data.Headline@27225f56,1097,unrelated,unrelated
edu.arizona.cs.data.Headline@4ba90124,459,unrelated,unrelated
edu.arizona.cs.data.Headline@42dabd14,1820,unrelated,unrelated
edu.arizona.cs.data.Headline@7171ccc,2130,unrelated,unrelated
edu.arizona.cs.data.Headline@10b23327,1931,unrelated,unrelated
edu.arizona.cs.data.Headline@f71e12e,2223,unrelated,unrelated
edu.arizona.cs.data.Headline@23411017,860,unrelated,unrelated
edu.arizona.cs.data.Headline@23b9fdc0,599,discuss,discuss
edu.arizona.cs.data.Headline@58987637,2347,discuss,discuss
edu.arizona.cs.data.Headline@34a3c719,852,discuss,discuss
edu.arizona.cs.data.Headline@167251ea,345,unrelated,unrelated
edu.arizona.cs.data.Headline@3c43c732,2092,unrelated,unrelated
edu.arizona.cs.data.Headline@2531f5d3,170,unrelated,unrelated
edu.arizona.cs.data.Headline@2dc463a1,737,unrelated,unrelated
edu.arizona.cs.data.Headline@b65a2a0,2256,unrelated,unrelated
edu.arizona.cs.data.Headline@2f87f792,740,unrelated,unrelated
edu.arizona.cs.data.Headline@6aa8829a,1104,unrelated,unrelated
edu.arizona.cs.data.Headline@4cfe4dcd,521,unrelated,unrelated
edu.arizona.cs.data.Headline@6f064ee1,1689,discuss,discuss
edu.arizona.cs.data.Headline@7fad0ff4,1298,discuss,discuss
edu.arizona.cs.data.Headline@2578105f,2044,unrelated,unrelated
edu.arizona.cs.data.Headline@b9f7b9f,1817,unrelated,unrelated
edu.arizona.cs.data.Headline@6ee3920b,1107,unrelated,unrelated
edu.arizona.cs.data.Headline@37dd8b77,459,discuss,discuss
edu.arizona.cs.data.Headline@52c28f3b,742,unrelated,unrelated
edu.arizona.cs.data.Headline@2271457f,2132,unrelated,unrelated
edu.arizona.cs.data.Headline@5070e8f0,1131,discuss,discuss
edu.arizona.cs.data.Headline@bad47ba,465,unrelated,unrelated
edu.arizona.cs.data.Headline@4d50baa3,2431,unrelated,unrelated
edu.arizona.cs.data.Headline@652244cb,263,unrelated,unrelated
edu.arizona.cs.data.Headline@324207f7,1148,unrelated,unrelated
edu.arizona.cs.data.Headline@53331692,1004,unrelated,unrelated
